#p01    #fam01  #n01    #color01
35699   1       1189    3
35707   1       1190    4
35717   1       1190    5
35893   1       1196    6
35903   1       1196    7
35917   1       1197    8
35929   1       1197    1
35981   1       1199    2
36127   1       1204    3
36227   1       1207    4
36283   1       1209    5
36311   1       1210    6
36337   1       1211    7
36499   1       1216    8
36547   1       1218    1
36569   1       1218    2
36593   1       1219    3
36641   1       1221    4
36673   1       1222    5
36737   1       1224    6
36757   1       1225    7
36967   1       1232    8
36971   1       1232    1
37063   1       1235    2
37069   1       1235    3
37177   1       1239    4
37247   1       1241    5
37283   1       1242    6
37301   1       1243    7
37387   1       1246    8
37439   1       1247    1
37453   1       1248    2
37597   1       1253    3
37631   1       1254    4
37639   1       1254    5
37757   1       1258    6
37807   1       1260    7
37843   1       1261    8
37961   1       1265    1
37973   1       1265    2
38017   1       1267    3
38209   1       1273    4
38227   1       1274    5
38233   1       1274    6
38267   1       1275    7
38291   1       1276    8
38309   1       1276    1
38437   1       1281    2
38621   1       1287    3
38623   1       1287    4
38647   1       1288    5
38663   1       1288    6
38777   1       1292    7
38779   1       1292    8
38857   1       1295    1
38951   1       1298    2
39013   1       1300    3
39067   1       1302    4
39179   1       1305    5
39277   1       1309    6
39281   1       1309    7
39287   1       1309    8
39349   1       1311    1
39353   1       1311    2
39403   1       1313    3
39487   1       1316    4
39611   1       1320    5
39697   1       1323    6
39793   1       1326    7
39797   1       1326    8
39907   1       1330    1
39919   1       1330    2
39941   1       1331    3
40043   1       1334    4
40049   1       1334    5
40117   1       1337    6
40183   1       1339    7
40271   1       1342    8
40307   1       1343    1
40327   1       1344    2
40489   1       1349    3
40537   1       1351    4
40573   1       1352    5
40601   1       1353    6
40733   1       1357    7
40747   1       1358    8
40817   1       1360    1
40919   1       1363    2
40931   1       1364    3
40957   1       1365    4
40963   1       1365    5
41059   1       1368    6
41167   1       1372    7
41261   1       1375    8
41327   1       1377    1
41353   1       1378    2
41377   1       1379    3
41423   1       1380    4
41587   1       1386    5
