 #z      #x      #y      #c
 12      27      24      30
 12      28      6       30
 12      29      18      30
 12      30      00      30
 12      30      30      30
 #z      #x      #y      #c
 14      0       0       30
 14      1       14      30
 14      2       28      30
 14      3       12      30
 14      4       26      30
 14      5       10      30
 14      6       24      30
 14      7       8       30
 14      8       22      30
 14      9       6       30
 14      10      20      30
 14      11      4       30
 14      12      18      30
 14      13      2       30
 14      14      16      30
 14      15      00      30
 14      15      30      30
 14      16      14      30
 14      17      28      30
 14      18      12      30
 14      19      26      30
 14      20      10      30
 14      21      24      30
 14      22      8       30
 14      23      22      30
 14      24      6       30
 14      25      20      30
 14      26      4       30
 14      27      18      30
 14      28      2       30
 14      29      16      30
 14      30      00      30
 14      30      30      30
 #z      #x      #y      #c
 15      0       0       30
 15      1       15      30
 15      2       00      30
 15      2       30      30
 15      3       15      30
 15      4       00      30
 15      4       30      30
 15      5       15      30
 15      6       00      30
 15      6       30      30
 15      7       15      30
 15      8       00      30
 15      8       30      30
 15      9       15      30
 15      10      00      30
 15      10      30      30
 15      11      15      30
 15      12      00      30
 15      12      30      30
 15      13      15      30
 15      14      00      30
 15      14      30      30
 15      15      15      30
 15      16      00      30
 15      16      30      30
 15      17      15      30
 15      18      00      30
 15      18      30      30
 15      19      15      30
 15      20      00      30
 15      20      30      30
 15      21      15      30
 15      22      00      30
 15      22      30      30
 15      23      15      30
 15      24      00      30
 15      24      30      30
 15      25      15      30
 15      26      00      30
 15      26      30      30
 15      27      15      30
 15      28      00      30
 15      28      30      30
 15      29      15      30
 15      30      00      30
 15      30      30      30
 #z      #x      #y      #c
 16      0       0       30
 16      1       16      30
 16      2       2       30
 16      3       18      30
 16      4       4       30
 16      5       20      30
 16      6       6       30
 16      7       22      30
 16      8       8       30
 16      9       24      30
 16      10      10      30
 16      11      26      30
 16      12      12      30
 16      13      28      30
 16      14      14      30
 16      15      00      30
 16      15      30      30
 16      16      16      30
 16      17      2       30
 16      18      18      30
 16      19      4       30
 16      20      20      30
 16      21      6       30
 16      22      22      30
 16      23      8       30
 16      24      24      30
 16      25      10      30
 16      26      26      30
 16      27      12      30
 16      28      28      30
 16      29      14      30
 16      30      00      30
 16      30      30      30
 #z      #x      #y      #c
 18      0       0       30
 18      1       18      30
 18      2       6       30
 18      3       24      30
 18      4       12      30
 18      5       00      30
 18      5       30      30
 18      6       18      30
 18      7       6       30
 18      8       24      30
 18      9       12      30
 18      10      00      30
 18      10      30      30
 18      11      18      30
 18      12      6       30
 18      13      24      30
 18      14      12      30
 18      15      00      30
 18      15      30      30
 18      16      18      30
 18      17      6       30
 18      18      24      30
 18      19      12      30
 18      20      00      30
 18      20      30      30
 18      21      18      30
 18      22      6       30
 18      23      24      30
 18      24      12      30
 18      25      00      30
 18      25      30      30
 18      26      18      30
 18      27      6       30
 18      28      24      30
 18      29      12      30
 18      30      00      30
 18      30      30      30
 #z      #x      #y      #c
 20      0       0       30
 20      1       20      30
 20      2       10      30
 20      3       00      30
 20      3       30      30
 20      4       20      30
 20      5       10      30
 20      6       00      30
 20      6       30      30
 20      7       20      30
 20      8       10      30
 20      9       00      30
 20      9       30      30
 20      10      20      30
 20      11      10      30
 20      12      00      30
 20      12      30      30
 20      13      20      30
 20      14      10      30
 20      15      00      30
 20      15      30      30
 20      16      20      30
 20      17      10      30
 20      18      00      30
 20      18      30      30
 20      19      20      30
 20      20      10      30
 20      21      00      30
 20      21      30      30
 20      22      20      30
 20      23      10      30
 20      24      00      30
 20      24      30      30
 20      25      20      30
 20      26      10      30
 20      27      00      30
 20      27      30      30
 20      28      20      30
 20      29      10      30
 20      30      00      30
 20      30      30      30
 #z      #x      #y      #c
 21      0       0       30
 21      1       21      30
 21      2       12      30
 21      3       3       30
 21      4       24      30
 21      5       15      30
 21      6       6       30
 21      7       27      30
 21      8       18      30
 21      9       9       30
 21      10      00      30
 21      10      30      30
 21      11      21      30
 21      12      12      30
 21      13      3       30
 21      14      24      30
 21      15      15      30
 21      16      6       30
 21      17      27      30
 21      18      18      30
 21      19      9       30
 21      20      00      30
 21      20      30      30
 21      21      21      30
 21      22      12      30
 21      23      3       30
 21      24      24      30
 21      25      15      30
 21      26      6       30
 21      27      27      30
 21      28      18      30
 21      29      9       30
 21      30      00      30
 21      30      30      30
 #z      #x      #y      #c
 22      0       0       30
 22      1       22      30
 22      2       14      30
 22      3       6       30
 22      4       28      30
 22      5       20      30
 22      6       12      30
 22      7       4       30
 22      8       26      30
 22      9       18      30
 22      10      10      30
 22      11      2       30
 22      12      24      30
 22      13      16      30
 22      14      8       30
 22      15      00      30
 22      15      30      30
 22      16      22      30
 22      17      14      30
 22      18      6       30
 22      19      28      30
 22      20      20      30
 22      21      12      30
 22      22      4       30
 22      23      26      30
 22      24      18      30
 22      25      10      30
 22      26      2       30
 22      27      24      30
 22      28      16      30
 22      29      8       30
 22      30      00      30
 22      30      30      30
 #z      #x      #y      #c
 24      0       0       30
 24      1       24      30
 24      2       18      30
 24      3       12      30
 24      4       6       30
 24      5       00      30
 24      5       30      30
 24      6       24      30
 24      7       18      30
 24      8       12      30
 24      9       6       30
 24      10      00      30
 24      10      30      30
 24      11      24      30
 24      12      18      30
 24      13      12      30
 24      14      6       30
 24      15      00      30
 24      15      30      30
 24      16      24      30
 24      17      18      30
 24      18      12      30
 24      19      6       30
 24      20      00      30
 24      20      30      30
 24      21      24      30
 24      22      18      30
 24      23      12      30
 24      24      6       30
 24      25      00      30
 24      25      30      30
 24      26      24      30
 24      27      18      30
 24      28      12      30
 24      29      6       30
 24      30      00      30
 24      30      30      30
 #z      #x      #y      #c
 25      0       0       30
 25      1       25      30
 25      2       20      30
 25      3       15      30
 25      4       10      30
 25      5       5       30
 25      6       00      30
 25      6       30      30
 25      7       25      30
 25      8       20      30
 25      9       15      30
 25      10      10      30
 25      11      5       30
 25      12      00      30
 25      12      30      30
 25      13      25      30
 25      14      20      30
 25      15      15      30
 25      16      10      30
 25      17      5       30
 25      18      00      30
 25      18      30      30
 25      19      25      30
 25      20      20      30
 25      21      15      30
 25      22      10      30
 25      23      5       30
 25      24      00      30
 25      24      30      30
 25      25      25      30
 25      26      20      30
 25      27      15      30
 25      28      10      30
 25      29      5       30
 25      30      00      30
 25      30      30      30
 #z      #x      #y      #c
 26      0       0       30
 26      1       26      30
 26      2       22      30
 26      3       18      30
 26      4       14      30
 26      5       10      30
 26      6       6       30
 26      7       2       30
 26      8       28      30
 26      9       24      30
 26      10      20      30
 26      11      16      30
 26      12      12      30
 26      13      8       30
 26      14      4       30
 26      15      00      30
 26      15      30      30
 26      16      26      30
 26      17      22      30
 26      18      18      30
 26      19      14      30
 26      20      10      30
 26      21      6       30
 26      22      2       30
 26      23      28      30
 26      24      24      30
 26      25      20      30
 26      26      16      30
 26      27      12      30
 26      28      8       30
 26      29      4       30
 26      30      00      30
 26      30      30      30
 #z      #x      #y      #c
 27      0       0       30
 27      1       27      30
 27      2       24      30
 27      3       21      30
 27      4       18      30
 27      5       15      30
 27      6       12      30
 27      7       9       30
 27      8       6       30
 27      9       3       30
 27      10      00      30
 27      10      30      30
 27      11      27      30
 27      12      24      30
 27      13      21      30
 27      14      18      30
 27      15      15      30
 27      16      12      30
 27      17      9       30
 27      18      6       30
 27      19      3       30
 27      20      00      30
 27      20      30      30
 27      21      27      30
 27      22      24      30
 27      23      21      30
 27      24      18      30
 27      25      15      30
 27      26      12      30
 27      27      9       30
 27      28      6       30
 27      29      3       30
 27      30      00      30
 27      30      30      30
