#z      #x      #y     000
12      30      30     000
12      31      42     000
12      32      54     000
12      33      36     000
12      34      48     000
12      35      30     000
12      35      60     000
12      36      42     000
12      37      54     000
12      38      36     000
12      39      48     000
12      40      30     000
12      40      60     000
12      41      42     000
12      42      54     000
12      43      36     000
12      44      48     000
12      45      30     000
12      45      60     000
12      46      42     000
12      47      54     000
12      48      36     000
12      49      48     000
12      50      30     000
12      50      60     000
12      51      42     000
12      52      54     000
12      53      36     000
12      54      48     000
12      55      30     000
12      55      60     000
12      56      42     000
12      57      54     000
12      58      36     000
12      59      48     000
12      60      30     000
12      60      60     000
#z2      #x2     #z2   #c2
13      30      30     1
13      31      43     1
13      32      56     1
13      33      39     1
13      34      52     1
13      35      35     1
13      36      48     1
13      37      31     1
13      38      44     1
13      39      57     1
13      40      40     1
13      41      53     1
13      42      36     1
13      43      49     1
13      44      32     1
13      45      45     1
13      46      58     1
13      47      41     1
13      48      54     1
13      49      37     1
13      50      50     1
13      51      33     1
13      52      46     1
13      53      59     1
13      54      42     1
13      55      55     1
13      56      38     1
13      57      51     1
13      58      34     1
13      59      47     1
13      60      30     1
13      60      60     1
#z2      #x2     #z2   #c2
14      30      30     000
14      31      44     000
14      32      58     000
14      33      42     000
14      34      56     000
14      35      40     000
14      36      54     000
14      37      38     000
14      38      52     000
14      39      36     000
14      40      50     000
14      41      34     000
14      42      48     000
14      43      32     000
14      44      46     000
14      45      30     000
14      45      60     000
14      46      44     000
14      47      58     000
14      48      42     000
14      49      56     000
14      50      40     000
14      51      54     000
14      52      38     000
14      53      52     000
14      54      36     000
14      55      50     000
14      56      34     000
14      57      48     000
14      58      32     000
14      59      46     000
14      60      30     000
14      60      60     000
#z2      #x2     #z2   #c2
15      30      30     000
15      31      45     000
15      32      30     000
15      32      60     000
15      33      45     000
15      34      30     000
15      34      60     000
15      35      45     000
15      36      30     000
15      36      60     000
15      37      45     000
15      38      30     000
15      38      60     000
15      39      45     000
15      40      30     000
15      40      60     000
15      41      45     000
15      42      30     000
15      42      60     000
15      43      45     000
15      44      30     000
15      44      60     000
15      45      45     000
15      46      30     000
15      46      60     000
15      47      45     000
15      48      30     000
15      48      60     000
15      49      45     000
15      50      30     000
15      50      60     000
15      51      45     000
15      52      30     000
15      52      60     000
15      53      45     000
15      54      30     000
15      54      60     000
15      55      45     000
15      56      30     000
15      56      60     000
15      57      45     000
15      58      30     000
15      58      60     000
15      59      45     000
15      60      30     000
15      60      60     000
#z2      #x2     #z2   #c2
16      30      30     000
16      31      46     000
16      32      32     000
16      33      48     000
16      34      34     000
16      35      50     000
16      36      36     000
16      37      52     000
16      38      38     000
16      39      54     000
16      40      40     000
16      41      56     000
