##here1
##z      #x      #y     000
##1      33      33     1
##1      34      34     1
##1      35      35     1
##1      36      36     1
##1      37      37     1
##1      38      38     1
##1      39      39     1
##1      40      40     1
##1      41      41     1
##1      42      42     1
##1      43      43     1
##1      44      44     1
##1      45      45     1
##1      46      46     1
##1      47      47     1
##1      48      48     1
##1      49      49     1
##1      50      50     1
##1      51      51     1
##1      52      52     1
##1      53      53     1
##1      54      54     1
##1      55      55     1
##1      56      56     1
##1      57      57     1
##1      58      58     1
##1      59      59     1
##1      60      30     1
##1      60      60     1
##z2      #x2     #z2   #c2
 2       30      30     000
 2       31      32     000
 2       32      34     000
 2       33      36     000
 2       34      38     000
 2       35      40     000
 2       36      42     000
 2       37      44     000
 2       38      46     000
 2       39      48     000
 2       40      50     000
 2       41      52     000
 2       42      54     000
 2       43      56     000
 2       44      58     000
 2       45      30     000
 2       45      60     000
 2       46      32     000
 2       47      34     000
 2       48      36     000
 2       49      38     000
 2       50      40     000
 2       51      42     000
 2       52      44     000
 2       53      46     000
 2       54      48     000
 2       55      50     000
 2       56      52     000
 2       57      54     000
 2       58      56     000
 2       59      58     000
 2       60      30     000
 2       60      60     000
##z2      #x2     #z2   #c2
 3       30      30     000
 3       31      33     000
 3       32      36     000
 3       33      39     000
 3       34      42     000
 3       35      45     000
 3       36      48     000
 3       37      51     000
 3       38      54     000
 3       39      57     000
 3       40      30     000
 3       40      60     000
 3       41      33     000
 3       42      36     000
 3       43      39     000
 3       44      42     000
 3       45      45     000
 3       46      48     000
 3       47      51     000
 3       48      54     000
 3       49      57     000
 3       50      30     000
 3       50      60     000
 3       51      33     000
 3       52      36     000
 3       53      39     000
 3       54      42     000
 3       55      45     000
 3       56      48     000
 3       57      51     000
 3       58      54     000
 3       59      57     000
 3       60      30     000
 3       60      60     000
##z2      #x2     #z2   #c2
 4       30      30     000
 4       31      34     000
 4       32      38     000
 4       33      42     000
 4       34      46     000
 4       35      50     000
 4       36      54     000
 4       37      58     000
 4       38      32     000
 4       39      36     000
 4       40      40     000
 4       41      44     000
 4       42      48     000
 4       43      52     000
 4       44      56     000
 4       45      30     000
 4       45      60     000
 4       46      34     000
 4       47      38     000
 4       48      42     000
 4       49      46     000
 4       50      50     000
 4       51      54     000
 4       52      58     000
 4       53      32     000
 4       54      36     000
 4       55      40     000
 4       56      44     000
 4       57      48     000
 4       58      52     000
 4       59      56     000
 4       60      30     000
 4       60      60     000
##z2      #x2     #z2   #c2
5       30      30     000
5       31      35     000
5       32      40     000
5       33      45     000
5       34      50     000
5       35      55     000
5       36      30     000
5       37      35     000
5       38      40     000
5       39      45     000
5       40      50     000
5       41      55     000
5       42      30     000
5       43      35     000
5       44      40     000
5       45      45     000
5       46      50     000
5       47      55     000
5       48      30     000
5       49      35     000
5       50      40     000
5       51      45     000
5       52      50     000
5       53      55     000
5       54      30     000
5       55      35     000
5       56      40     000
5       57      45     000
5       58      50     000
5       59      55     000
##z2      #x2     #z2   #c2
 6       30      30     000
 6       31      36     000
 6       32      42     000
 6       33      48     000
 6       34      54     000
 6       35      30     000
 6       35      60     000
 6       36      36     000
 6       37      42     000
 6       38      48     000
 6       39      54     000
 6       40      60     000
 6       41      36     000
 6       42      42     000
 6       43      48     000
 6       44      54     000
 6       45      30     000
 6       45      60     000
 6       46      36     000
 6       47      42     000
 6       48      48     000
 6       49      54     000
 6       50      30     000
 6       50      60     000
 6       51      36     000
 6       52      42     000
 6       53      48     000
 6       54      54     000
 6       55      30     000
 6       55      60     000
 6       56      36     000
 6       57      42     000
 6       58      48     000
 6       59      54     000
 6       60      30     000
 6       60      60     000
##z2      #x2     #z2   #c2
##7      30      30     1
##7      31      37     1
##7      32      44     1
##7      33      51     1
##7      34      58     1
##7      35      35     1
##7      36      42     1
##7      37      49     1
##7      38      56     1
##7      39      33     1
##7      40      40     1
##7      41      47     1
##7      42      54     1
##7      43      31     1
##7      44      38     1
##7      45      45     1
##7      46      52     1
##7      47      59     1
##7      48      36     1
##7      49      43     1
##7      50      50     1
##7      51      57     1
##7      52      34     1
##7      53      41     1
##7      54      48     1
##7      55      55     1
##7      56      32     1
##7      57      39     1
##7      58      46     1
##7      59      53     1
##7      60      30     1
##7      60      60     1
##z2      #x2     #z2   #c2
 8       30      30     000
 8       31      38     000
 8       32      46     000
 8       33      54     000
 8       34      32     000
 8       35      40     000
 8       36      48     000
 8       37      56     000
 8       38      34     000
 8       39      42     000
 8       40      50     000
 8       41      58     000
 8       42      36     000
 8       43      44     000
 8       44      52     000
 8       45      30     000
 8       45      60     000
 8       46      38     000
 8       47      46     000
 8       48      54     000
 8       49      32     000
 8       50      40     000
 8       51      48     000
 8       52      56     000
 8       53      34     000
 8       54      42     000
 8       55      50     000
 8       56      58     000
 8       57      36     000
 8       58      44     000
 8       59      52     000
 8       60      30     000
 8       60      60     000
##z2      #x2     #z2   #c2
 9       30      30     000
 9       31      39     000
 9       32      48     000
 9       33      57     000
 9       34      36     000
 9       35      45     000
 9       36      54     000
 9       37      33     000
 9       38      42     000
 9       39      51     000
 9       40      30     000
 9       40      60     000
 9       41      39     000
 9       42      48     000
 9       43      57     000
 9       44      36     000
 9       45      45     000
 9       46      54     000
 9       47      33     000
 9       48      42     000
 9       49      51     000
 9       50      30     000
 9       50      60     000
 9       51      39     000
 9       52      48     000
 9       53      57     000
 9       54      36     000
 9       55      45     000
 9       56      54     000
 9       57      33     000
 9       58      42     000
 9       59      51     000
 9       60      30     000
 9       60      60     000
##z2      #x2     #z2   #c2
 10      30      30     000
 10      31      40     000
 10      32      50     000
 10      33      30     000
 10      33      60     000
 10      34      40     000
 10      35      50     000
 10      36      30     000
 10      36      60     000
 10      37      40     000
 10      38      50     000
 10      39      30     000
 10      39      60     000
 10      40      40     000
 10      41      50     000
 10      42      30     000
 10      42      60     000
 10      43      40     000
 10      44      50     000
 10      45      30     000
 10      45      60     000
 10      46      40     000
 10      47      50     000
 10      48      30     000
 10      48      60     000
 10      49      40     000
 10      50      50     000
 10      51      30     000
 10      51      60     000
 10      52      40     000
 10      53      50     000
 10      54      30     000
 10      54      60     000
 10      55      40     000
 10      56      50     000
 10      57      30     000
 10      57      60     000
 10      58      40     000
 10      59      50     000
 10      60      30     000
 10      60      60     000
##z2      #x2     #z2   #c2
##11      30      30     1
##11      31      41     1
##11      32      52     1
##11      33      33     1
##11      34      44     1
##11      35      55     1
##11      36      36     1
##11      37      47     1
##11      38      58     1
##11      39      39     1
##11      40      50     1
##11      41      31     1
##11      42      42     1
##11      43      53     1
##11      44      34     1
##11      45      45     1
##11      46      56     1
##11      47      37     1
##11      48      48     1
##11      49      59     1
##11      50      40     1
##11      51      51     1
##11      52      32     1
##11      53      43     1
##11      54      54     1
##11      55      35     1
##11      56      46     1
##11      57      57     1
##11      58      38     1
##11      59      49     1
##11      60      30     1
##11      60      60     1
##z2      #x2     #z2   #c2
 12      30      30     000
 12      31      42     000
 12      32      54     000
 12      33      36     000
 12      34      48     000
 12      35      30     000
 12      35      60     000
 12      36      42     000
 12      37      54     000
 12      38      36     000
 12      39      48     000
 12      40      30     000
 12      40      60     000
 12      41      42     000
 12      42      54     000
 12      43      36     000
 12      44      48     000
 12      45      30     000
 12      45      60     000
 12      46      42     000
 12      47      54     000
 12      48      36     000
 12      49      48     000
 12      50      30     000
 12      50      60     000
 12      51      42     000
 12      52      54     000
 12      53      36     000
 12      54      48     000
 12      55      30     000
 12      55      60     000
 12      56      42     000
 12      57      54     000
 12      58      36     000
 12      59      48     000
 12      60      30     000
 12      60      60     000
##z2      #x2     #z2   #c2
##13      30      30     1
##13      31      43     1
##13      32      56     1
##13      33      39     1
##13      34      52     1
##13      35      35     1
##13      36      48     1
##13      37      31     1
##13      38      44     1
##13      39      57     1
##13      40      40     1
##13      41      53     1
##13      42      36     1
##13      43      49     1
##13      44      32     1
##13      45      45     1
##13      46      58     1
##13      47      41     1
##13      48      54     1
##13      49      37     1
##13      50      50     1
##13      51      33     1
##13      52      46     1
##13      53      59     1
##13      54      42     1
##13      55      55     1
##13      56      38     1
##13      57      51     1
##13      58      34     1
##13      59      47     1
##13      60      30     1
##13      60      60     1
##z2      #x2     #z2   #c2
 14      30      30     000
 14      31      44     000
 14      32      58     000
 14      33      42     000
 14      34      56     000
 14      35      40     000
 14      36      54     000
 14      37      38     000
 14      38      52     000
 14      39      36     000
 14      40      50     000
 14      41      34     000
 14      42      48     000
 14      43      32     000
 14      44      46     000
 14      45      30     000
 14      45      60     000
 14      46      44     000
 14      47      58     000
 14      48      42     000
 14      49      56     000
 14      50      40     000
 14      51      54     000
 14      52      38     000
 14      53      52     000
 14      54      36     000
 14      55      50     000
 14      56      34     000
 14      57      48     000
 14      58      32     000
 14      59      46     000
 14      60      30     000
 14      60      60     000
##z2      #x2     #z2   #c2
 15      30      30     000
 15      31      45     000
 15      32      30     000
 15      32      60     000
 15      33      45     000
 15      34      30     000
 15      34      60     000
 15      35      45     000
 15      36      30     000
 15      36      60     000
 15      37      45     000
 15      38      30     000
 15      38      60     000
 15      39      45     000
 15      40      30     000
 15      40      60     000
 15      41      45     000
 15      42      30     000
 15      42      60     000
 15      43      45     000
 15      44      30     000
 15      44      60     000
 15      45      45     000
 15      46      30     000
 15      46      60     000
 15      47      45     000
 15      48      30     000
 15      48      60     000
 15      49      45     000
 15      50      30     000
 15      50      60     000
 15      51      45     000
 15      52      30     000
 15      52      60     000
 15      53      45     000
 15      54      30     000
 15      54      60     000
 15      55      45     000
 15      56      30     000
 15      56      60     000
 15      57      45     000
 15      58      30     000
 15      58      60     000
 15      59      45     000
 15      60      30     000
 15      60      60     000
##z2      #x2     #z2   #c2
 16      30      30     000
 16      31      46     000
 16      32      32     000
 16      33      48     000
 16      34      34     000
 16      35      50     000
 16      36      36     000
 16      37      52     000
 16      38      38     000
