#x      #y      #z      #c      #comment Prime
#x      #y      #z      #c      #comment Prime
18      00      00      0       #
18      01      18      0       #P
18      02      06      0       #P
18      03      24      0       #P
18      04      12      0       #
18      05      00      0       #P
18      06      18      0       #
18      07      06      0       #P
18      08      24      0       #
18      09      12      0       #
18      10      0       0       #
18      11      18      0       #P
18      12      06      0       #
18      13      24      0       #P
18      14      12      0       #
18      15      0       0       #
18      16      18      0       #
18      17      06      0       #P
18      18      24      0       #
18      19      12      0       #P
18      20      0       0       #
18      21      18      0       #
18      22      06      0       #
18      23      24      0       #P
18      24      12      0       #
18      25      0       0       #
18      26      18      0       #
18      27      06      0       #P
18      28      24      0       #
18      29      12      0       #P
#x      #y      #z      #c      #comment Prime
18      30      00      0       0
18      31      18      0       #P
18      32      06      0       #
18      33      24      0       #
18      34      12      0       #
18      35      0       0       #
18      36      18      0       #
18      37      06      0       #P
18      38      24      0       #
18      39      12      0       #
18      40      0       0       #
18      41      18      0       #P
18      42      06      0       #
18      43      24      0       #P
18      44      12      0       #
18      45      0       0       #
18      46      18      0       #
18      47      06      0       #P
18      48      24      0       #
18      49      12      0       #
18      50      0       0       #
18      51      18      0       #
18      52      06      0       #
18      53      24      0       #P
18      54      12      0       #
18      55      0       0       #
18      56      18      0       #
18      57      06      0       #
18      58      24      0       #
18      59      12      0       #P
#x      #y      #z      #c      #comment Prime
18      60      0       0       #
18      61      18      0       #P
18      62      06      0       #
18      63      24      0       #
18      64      12      0       #
18      65      0       0       #
18      66      18      0       #
18      67      06      0       #P
18      68      24      0       #
18      69      12      0       #
18      70      0       0       #
18      71      18      0       #P
18      72      06      0       #
18      73      24      0       #
18      74      12      0       #
18      75      0       0       #
18      76      18      0       #
18      77      06      0       #
18      78      24      0       #
18      79      12      0       #P
18      80      0       0       #
18      81      18      0       #
18      82      06      0       #
18      83      24      0       #P
18      84      12      0       #
18      85      0       0       #
18      86      18      0       #
18      87      06      0       #
18      88      24      0       #
18      89      12      0       #P
#x      #y      #z      #c      #comment Prime
20      00      00      0       #
20      01      20      0       #P
20      02      10      0       #P
20      03      00      0       #P
20      04      20      0       #
20      05      10      0       #P
20      06      0       0       #
20      07      20      0       #P
20      08      10      0       #
20      09      0       0       #
20      10      20      0       #
20      11      10      0       #P
20      12      0       0       #
20      13      20      0       #P
20      14      10      0       #
20      15      0       0       #
20      16      20      0       #
20      17      10      0       #P
20      18      0       0       #
20      19      20      0       #P
20      20      10      0       #
20      21      0       0       #
20      22      20      0       #
20      23      10      0       #P
20      24      0       0       #
20      25      20      0       #
20      26      10      0       #
20      27      0       0       #P
20      28      20      0       #
20      29      10      0       #P
#x      #y      #z      #c      #comment Prime
20      30      00      0       0
20      31      20      0       #P
20      32      10      0       #
20      33      0       0       #
20      34      20      0       #
20      35      10      0       #
20      36      0       0       #
20      37      20      0       #P
20      38      10      0       #
20      39      0       0       #
20      40      20      0       #
20      41      10      0       #P
20      42      0       0       #
20      43      20      0       #P
20      44      10      0       #
20      45      0       0       #
20      46      20      0       #
20      47      10      0       #P
20      48      0       0       #
20      49      20      0       #
20      50      10      0       #
20      51      0       0       #
20      52      20      0       #
20      53      10      0       #P
20      54      0       0       #
20      55      20      0       #
20      56      10      0       #
20      57      0       0       #
20      58      20      0       #
20      59      10      0       #P
#x      #y      #z      #c      #comment Prime
20      60      0       0       #
20      61      20      0       #P
20      62      10      0       #
20      63      0       0       #
20      64      20      0       #
20      65      10      0       #
20      66      0       0       #
20      67      20      0       #P
20      68      10      0       #
