#x,y,z,prime,color
x,y,z,prime,pcolor
01,01,11548,346441,BLUE
01,01,1155,34651,BLUE
01,01,11550,346501,BLUE
01,01,11552,346561,BLUE
01,01,11555,346651,BLUE
01,01,11557,346711,BLUE
01,01,11561,346831,BLUE
01,01,11563,346891,BLUE
01,01,11568,347041,BLUE
01,01,11569,347071,BLUE
01,01,11571,347131,BLUE
01,01,11572,347161,BLUE
01,01,11575,347251,BLUE
01,01,11578,347341,BLUE
01,01,11580,347401,BLUE
01,01,11589,347671,BLUE
01,01,11591,347731,BLUE
01,01,11594,347821,BLUE
01,01,11600,348001,BLUE
01,01,11601,348031,BLUE
01,01,11606,348181,BLUE
01,01,11608,348241,BLUE
01,01,11614,348421,BLUE
01,01,11615,348451,BLUE
01,01,11619,348571,BLUE
01,01,11622,348661,BLUE
01,01,11627,348811,BLUE
01,01,11633,348991,BLUE
01,01,11635,349051,BLUE
01,01,11636,349081,BLUE
01,01,11639,349171,BLUE
01,01,11643,349291,BLUE
01,01,11646,349381,BLUE
01,01,11647,349411,BLUE
01,01,11649,349471,BLUE
01,01,1166,34981,BLUE
01,01,11660,349801,BLUE
01,01,11661,349831,BLUE
01,01,11666,349981,BLUE
01,01,11673,350191,BLUE
01,01,11676,350281,BLUE
01,01,11681,350431,BLUE
01,01,11684,350521,BLUE
01,01,11691,350731,BLUE
01,01,11695,350851,BLUE
01,01,11696,350881,BLUE
01,01,11698,350941,BLUE
01,01,11699,350971,BLUE
01,01,117,3511,BLUE
01,01,11701,351031,BLUE
01,01,11702,351061,BLUE
01,01,11704,351121,BLUE
01,01,11705,351151,BLUE
01,01,11710,351301,BLUE
01,01,11712,351361,BLUE
01,01,11713,351391,BLUE
01,01,11722,351661,BLUE
01,01,11723,351691,BLUE
01,01,11725,351751,BLUE
01,01,11727,351811,BLUE
01,01,11731,351931,BLUE
01,01,11733,351991,BLUE
01,01,11734,352021,BLUE
01,01,11736,352081,BLUE
01,01,11737,352111,BLUE
01,01,1174,35221,BLUE
01,01,11740,352201,BLUE
01,01,11746,352381,BLUE
01,01,11747,352411,BLUE
01,01,11748,352441,BLUE
01,01,1175,35251,BLUE
01,01,11757,352711,BLUE
01,01,11758,352741,BLUE
01,01,11759,352771,BLUE
01,01,1176,35281,BLUE
01,01,11761,352831,BLUE
01,01,11765,352951,BLUE
01,01,11767,353011,BLUE
01,01,1177,35311,BLUE
01,01,11772,353161,BLUE
01,01,11778,353341,BLUE
01,01,11780,353401,BLUE
01,01,11787,353611,BLUE
01,01,11788,353641,BLUE
01,01,11797,353911,BLUE
01,01,118,3541,BLUE
01,01,1180,35401,BLUE
01,01,11800,354001,BLUE
01,01,11801,354031,BLUE
01,01,11803,354091,BLUE
01,01,11804,354121,BLUE
01,01,11806,354181,BLUE
01,01,11809,354271,BLUE
01,01,11810,354301,BLUE
01,01,11813,354391,BLUE
01,01,11814,354421,BLUE
01,01,11815,354451,BLUE
01,01,1182,35461,BLUE
01,01,11822,354661,BLUE
01,01,11825,354751,BLUE
01,01,1183,35491,BLUE
01,01,11832,354961,BLUE
01,01,11837,355111,BLUE
01,01,11839,355171,BLUE
01,01,1184,35521,BLUE
01,01,11842,355261,BLUE
01,01,11844,355321,BLUE
01,01,11848,355441,BLUE
01,01,11850,355501,BLUE
01,01,11853,355591,BLUE
01,01,11855,355651,BLUE
01,01,11863,355891,BLUE
01,01,11865,355951,BLUE
01,01,11870,356101,BLUE
01,01,11877,356311,BLUE
01,01,1189,35671,BLUE
01,01,11890,356701,BLUE
01,01,11891,356731,BLUE
01,01,11892,356761,BLUE
01,01,11894,356821,BLUE
01,01,119,3571,BLUE
01,01,11901,357031,BLUE
01,01,11907,357211,BLUE
01,01,11908,357241,BLUE
01,01,11909,357271,BLUE
01,01,1191,35731,BLUE
01,01,11914,357421,BLUE
01,01,11919,357571,BLUE
01,01,11922,357661,BLUE
01,01,11926,357781,BLUE
01,01,11935,358051,BLUE
01,01,11940,358201,BLUE
01,01,11943,358291,BLUE
01,01,11948,358441,BLUE
01,01,11949,358471,BLUE
01,01,1195,35851,BLUE
01,01,11951,358531,BLUE
01,01,11953,358591,BLUE
01,01,11956,358681,BLUE
01,01,11957,358711,BLUE
01,01,11962,358861,BLUE
01,01,11965,358951,BLUE
01,01,11968,359041,BLUE
01,01,1197,35911,BLUE
01,01,11970,359101,BLUE
01,01,11977,359311,BLUE
01,01,11986,359581,BLUE
01,01,11988,359641,BLUE
01,01,11990,359701,BLUE
01,01,11991,359731,BLUE
01,01,11992,359761,BLUE
01,01,11995,359851,BLUE
01,01,11997,359911,BLUE
01,01,12003,360091,BLUE
01,01,12006,360181,BLUE
01,01,12009,360271,BLUE
01,01,12013,360391,BLUE
01,01,12014,360421,BLUE
01,01,12017,360511,BLUE
01,01,12018,360541,BLUE
01,01,1202,36061,BLUE
