#x,y,z,prime,color
x,y,z,prime,pcolor

NUMBER  PFLAG   x,y,z,prime,pcolor
2239    P       19,19,74,2239,RED
2243    P       23,23,74,2243,GREEN
2251    P       01,01,75,2251,BLUE
2267    P       17,17,75,2267,GOLD
2269    P       19,19,75,2269,RED
2273    P       23,23,75,2273,GREEN
2281    P       01,01,76,2281,BLUE
2287    P       07,07,76,2287,GREEN
2293    P       13,13,76,2293,GOLD
2297    P       17,17,76,2297,GOLD
2309    P       29,29,76,2309,BLUE
2311    P       01,01,77,2311,BLUE
2333    P       23,23,77,2333,GREEN
2339    P       29,29,77,2339,BLUE
2341    P       01,01,78,2341,BLUE
2347    P       07,07,78,2347,GREEN
2351    P       11,11,78,2351,RED
2357    P       17,17,78,2357,GOLD
2371    P       01,01,79,2371,BLUE
2377    P       07,07,79,2377,GREEN
2381    P       11,11,79,2381,RED
2383    P       13,13,79,2383,GOLD
2389    P       19,19,79,2389,RED
2393    P       23,23,79,2393,GREEN
2399    P       29,29,79,2399,BLUE
2411    P       11,11,80,2411,RED
2417    P       17,17,80,2417,GOLD
2423    P       23,23,80,2423,GREEN
2437    P       07,07,81,2437,GREEN
2441    P       11,11,81,2441,RED
2447    P       17,17,81,2447,GOLD
2459    P       29,29,81,2459,BLUE
2467    P       07,07,82,2467,GREEN
2473    P       13,13,82,2473,GOLD
2477    P       17,17,82,2477,GOLD
2503    P       13,13,83,2503,GOLD
2521    P       01,01,84,2521,BLUE
2531    P       11,11,84,2531,RED
2539    P       19,19,84,2539,RED
2543    P       23,23,84,2543,GREEN
2549    P       29,29,84,2549,BLUE
2551    P       01,01,85,2551,BLUE
2557    P       07,07,85,2557,GREEN
2579    P       29,29,85,2579,BLUE
2591    P       11,11,86,2591,RED
2593    P       13,13,86,2593,GOLD
2609    P       29,29,86,2609,BLUE
2617    P       07,07,87,2617,GREEN
2621    P       11,11,87,2621,RED
2633    P       23,23,87,2633,GREEN
2647    P       07,07,88,2647,GREEN
2657    P       17,17,88,2657,GOLD
2659    P       19,19,88,2659,RED
2663    P       23,23,88,2663,GREEN
2671    P       01,01,89,2671,BLUE
2677    P       07,07,89,2677,GREEN
2683    P       13,13,89,2683,GOLD
2687    P       17,17,89,2687,GOLD
2689    P       19,19,89,2689,RED
2693    P       23,23,89,2693,GREEN
2699    P       29,29,89,2699,BLUE
2707    P       07,07,90,2707,GREEN
2711    P       11,11,90,2711,RED
2713    P       13,13,90,2713,GOLD
2719    P       19,19,90,2719,RED
2729    P       29,29,90,2729,BLUE
2731    P       01,01,91,2731,BLUE
2741    P       11,11,91,2741,RED
2749    P       19,19,91,2749,RED
2753    P       23,23,91,2753,GREEN
2767    P       07,07,92,2767,GREEN
2777    P       17,17,92,2777,GOLD
2789    P       29,29,92,2789,BLUE
2791    P       01,01,93,2791,BLUE
2797    P       07,07,93,2797,GREEN
2801    P       11,11,93,2801,RED
2803    P       13,13,93,2803,GOLD
2819    P       29,29,93,2819,BLUE
2833    P       13,13,94,2833,GOLD
2837    P       17,17,94,2837,GOLD
2843    P       23,23,94,2843,GREEN
2851    P       01,01,95,2851,BLUE
2857    P       07,07,95,2857,GREEN
2861    P       11,11,95,2861,RED
2879    P       29,29,95,2879,BLUE
2887    P       07,07,96,2887,GREEN
2897    P       17,17,96,2897,GOLD
2903    P       23,23,96,2903,GREEN
2909    P       29,29,96,2909,BLUE
2917    P       07,07,97,2917,GREEN
2927    P       17,17,97,2927,GOLD
2939    P       29,29,97,2939,BLUE
2953    P       13,13,98,2953,GOLD
2957    P       17,17,98,2957,GOLD
2963    P       23,23,98,2963,GREEN
2969    P       29,29,98,2969,BLUE
2971    P       01,01,99,2971,BLUE
2999    P       29,29,99,2999,BLUE
3001    P       01,01,100,3001,BLUE
3011    P       11,11,100,3011,RED
3019    P       19,19,100,3019,RED
3023    P       23,23,100,3023,GREEN
3037    P       07,07,101,3037,GREEN
3041    P       11,11,101,3041,RED
3049    P       19,19,101,3049,RED
3061    P       01,01,102,3061,BLUE
3067    P       07,07,102,3067,GREEN
3079    P       19,19,102,3079,RED
3083    P       23,23,102,3083,GREEN
3089    P       29,29,102,3089,BLUE
3109    P       19,19,103,3109,RED
3119    P       29,29,103,3119,BLUE
3121    P       01,01,104,3121,BLUE
3137    P       17,17,104,3137,GOLD
3163    P       13,13,105,3163,GOLD
3167    P       17,17,105,3167,GOLD
3169    P       19,19,105,3169,RED
3181    P       01,01,106,3181,BLUE
3187    P       07,07,106,3187,GREEN
3191    P       11,11,106,3191,RED
3203    P       23,23,106,3203,GREEN
3209    P       29,29,106,3209,BLUE
3217    P       07,07,107,3217,GREEN
3221    P       11,11,107,3221,RED
3229    P       19,19,107,3229,RED
3251    P       11,11,108,3251,RED
3253    P       13,13,108,3253,GOLD
3257    P       17,17,108,3257,GOLD
3259    P       19,19,108,3259,RED
3271    P       01,01,109,3271,BLUE
3299    P       29,29,109,3299,BLUE
3301    P       01,01,110,3301,BLUE
3307    P       07,07,110,3307,GREEN
3313    P       13,13,110,3313,GOLD
3319    P       19,19,110,3319,RED
3323    P       23,23,110,3323,GREEN
3329    P       29,29,110,3329,BLUE
3331    P       01,01,111,3331,BLUE
3343    P       13,13,111,3343,GOLD
3347    P       17,17,111,3347,GOLD
3359    P       29,29,111,3359,BLUE
3361    P       01,01,112,3361,BLUE
3371    P       11,11,112,3371,RED
3373    P       13,13,112,3373,GOLD
3389    P       29,29,112,3389,BLUE
3391    P       01,01,113,3391,BLUE
3407    P       17,17,113,3407,GOLD
3413    P       23,23,113,3413,GREEN
3433    P       13,13,114,3433,GOLD
3449    P       29,29,114,3449,BLUE
3457    P       07,07,115,3457,GREEN
3461    P       11,11,115,3461,RED
3463    P       13,13,115,3463,GOLD
3467    P       17,17,115,3467,GOLD
3469    P       19,19,115,3469,RED
3491    P       11,11,116,3491,RED
3499    P       19,19,116,3499,RED
3511    P       01,01,117,3511,BLUE
3517    P       07,07,117,3517,GREEN
3527    P       17,17,117,3527,GOLD
3529    P       19,19,117,3529,RED
3533    P       23,23,117,3533,GREEN
3539    P       29,29,117,3539,BLUE
3541    P       01,01,118,3541,BLUE
3547    P       07,07,118,3547,GREEN
3557    P       17,17,118,3557,GOLD
3559    P       19,19,118,3559,RED
3571    P       01,01,119,3571,BLUE
3581    P       11,11,119,3581,RED
3583    P       13,13,119,3583,GOLD
3593    P       23,23,119,3593,GREEN
3607    P       07,07,120,3607,GREEN
3613    P       13,13,120,3613,GOLD
3617    P       17,17,120,3617,GOLD
3623    P       23,23,120,3623,GREEN
3631    P       01,01,121,3631,BLUE
3637    P       07,07,121,3637,GREEN
3643    P       13,13,121,3643,GOLD
3659    P       29,29,121,3659,BLUE
3671    P       11,11,122,3671,RED
3673    P       13,13,122,3673,GOLD
3677    P       17,17,122,3677,GOLD
3691    P       01,01,123,3691,BLUE
3697    P       07,07,123,3697,GREEN
3701    P       11,11,123,3701,RED
3709    P       19,19,123,3709,RED
3719    P       29,29,123,3719,BLUE
3727    P       07,07,124,3727,GREEN
3733    P       13,13,124,3733,GOLD
3739    P       19,19,124,3739,RED
3761    P       11,11,125,3761,RED
3767    P       17,17,125,3767,GOLD
3769    P       19,19,125,3769,RED
3779    P       29,29,125,3779,BLUE
3793    P       13,13,126,3793,GOLD
3797    P       17,17,126,3797,GOLD
3803    P       23,23,126,3803,GREEN
3821    P       11,11,127,3821,RED
3823    P       13,13,127,3823,GOLD
3833    P       23,23,127,3833,GREEN
3847    P       07,07,128,3847,GREEN
3851    P       11,11,128,3851,RED
3853    P       13,13,128,3853,GOLD
3863    P       23,23,128,3863,GREEN
3877    P       07,07,129,3877,GREEN
3881    P       11,11,129,3881,RED
3889    P       19,19,129,3889,RED
3907    P       07,07,130,3907,GREEN
3911    P       11,11,130,3911,RED
3917    P       17,17,130,3917,GOLD
3919    P       19,19,130,3919,RED
3923    P       23,23,130,3923,GREEN
3929    P       29,29,130,3929,BLUE
3931    P       01,01,131,3931,BLUE
3943    P       13,13,131,3943,GOLD
3947    P       17,17,131,3947,GOLD
3967    P       07,07,132,3967,GREEN
3989    P       29,29,132,3989,BLUE
4001    P       11,11,133,4001,RED
4003    P       13,13,133,4003,GOLD
4007    P       17,17,133,4007,GOLD
4013    P       23,23,133,4013,GREEN
4019    P       29,29,133,4019,BLUE
4021    P       01,01,134,4021,BLUE
4027    P       07,07,134,4027,GREEN
4049    P       29,29,134,4049,BLUE
4051    P       01,01,135,4051,BLUE
4057    P       07,07,135,4057,GREEN
4073    P       23,23,135,4073,GREEN
4079    P       29,29,135,4079,BLUE
4091    P       11,11,136,4091,RED
4093    P       13,13,136,4093,GOLD
4099    P       19,19,136,4099,RED
4111    P       01,01,137,4111,BLUE
4127    P       17,17,137,4127,GOLD
4129    P       19,19,137,4129,RED
4133    P       23,23,137,4133,GREEN
4139    P       29,29,137,4139,BLUE
4153    P       13,13,138,4153,GOLD
4157    P       17,17,138,4157,GOLD
4159    P       19,19,138,4159,RED
4177    P       07,07,139,4177,GREEN
4201    P       01,01,140,4201,BLUE
4211    P       11,11,140,4211,RED
4217    P       17,17,140,4217,GOLD
4219    P       19,19,140,4219,RED
4229    P       29,29,140,4229,BLUE
4231    P       01,01,141,4231,BLUE
4241    P       11,11,141,4241,RED
4243    P       13,13,141,4243,GOLD
4253    P       23,23,141,4253,GREEN
4259    P       29,29,141,4259,BLUE
4261    P       01,01,142,4261,BLUE
4271    P       11,11,142,4271,RED
4273    P       13,13,142,4273,GOLD
4283    P       23,23,142,4283,GREEN
4289    P       29,29,142,4289,BLUE
4297    P       07,07,143,4297,GREEN
4327    P       07,07,144,4327,GREEN
4337    P       17,17,144,4337,GOLD
4339    P       19,19,144,4339,RED
4349    P       29,29,144,4349,BLUE
4357    P       07,07,145,4357,GREEN
4363    P       13,13,145,4363,GOLD
4373    P       23,23,145,4373,GREEN
4391    P       11,11,146,4391,RED
4397    P       17,17,146,4397,GOLD
4409    P       29,29,146,4409,BLUE
4421    P       11,11,147,4421,RED
4423    P       13,13,147,4423,GOLD
4441    P       01,01,148,4441,BLUE
4447    P       07,07,148,4447,GREEN
4451    P       11,11,148,4451,RED
4457    P       17,17,148,4457,GOLD
4463    P       23,23,148,4463,GREEN
4481    P       11,11,149,4481,RED
4483    P       13,13,149,4483,GOLD
4493    P       23,23,149,4493,GREEN
4507    P       07,07,150,4507,GREEN
4513    P       13,13,150,4513,GOLD
4517    P       17,17,150,4517,GOLD
4519    P       19,19,150,4519,RED
4523    P       23,23,150,4523,GREEN
4547    P       17,17,151,4547,GOLD
4549    P       19,19,151,4549,RED
4561    P       01,01,152,4561,BLUE
4567    P       07,07,152,4567,GREEN
4583    P       23,23,152,4583,GREEN
4591    P       01,01,153,4591,BLUE
4597    P       07,07,153,4597,GREEN
4603    P       13,13,153,4603,GOLD
4621    P       01,01,154,4621,BLUE
4637    P       17,17,154,4637,GOLD
4639    P       19,19,154,4639,RED
4643    P       23,23,154,4643,GREEN
4649    P       29,29,154,4649,BLUE
4651    P       01,01,155,4651,BLUE
4657    P       07,07,155,4657,GREEN
4663    P       13,13,155,4663,GOLD
4673    P       23,23,155,4673,GREEN
4679    P       29,29,155,4679,BLUE
4691    P       11,11,156,4691,RED
4703    P       23,23,156,4703,GREEN
4721    P       11,11,157,4721,RED
4723    P       13,13,157,4723,GOLD
4729    P       19,19,157,4729,RED
4733    P       23,23,157,4733,GREEN
4751    P       11,11,158,4751,RED
4759    P       19,19,158,4759,RED
4783    P       13,13,159,4783,GOLD
4787    P       17,17,159,4787,GOLD
4789    P       19,19,159,4789,RED
4793    P       23,23,159,4793,GREEN
4799    P       29,29,159,4799,BLUE
4801    P       01,01,160,4801,BLUE
4813    P       13,13,160,4813,GOLD
4817    P       17,17,160,4817,GOLD
4831    P       01,01,161,4831,BLUE
4861    P       01,01,162,4861,BLUE
4871    P       11,11,162,4871,RED
4877    P       17,17,162,4877,GOLD
4889    P       29,29,162,4889,BLUE
4903    P       13,13,163,4903,GOLD
4909    P       19,19,163,4909,RED
4919    P       29,29,163,4919,BLUE
4931    P       11,11,164,4931,RED
4933    P       13,13,164,4933,GOLD
4937    P       17,17,164,4937,GOLD
4943    P       23,23,164,4943,GREEN
4951    P       01,01,165,4951,BLUE
4957    P       07,07,165,4957,GREEN
4967    P       17,17,165,4967,GOLD
4969    P       19,19,165,4969,RED
4973    P       23,23,165,4973,GREEN
4987    P       07,07,166,4987,GREEN
4993    P       13,13,166,4993,GOLD
4999    P       19,19,166,4999,RED
5003    P       23,23,166,5003,GREEN
5009    P       29,29,166,5009,BLUE
5011    P       01,01,167,5011,BLUE
5021    P       11,11,167,5021,RED
5023    P       13,13,167,5023,GOLD
5039    P       29,29,167,5039,BLUE
5051    P       11,11,168,5051,RED
5059    P       19,19,168,5059,RED
5077    P       07,07,169,5077,GREEN
5081    P       11,11,169,5081,RED
5087    P       17,17,169,5087,GOLD
5099    P       29,29,169,5099,BLUE
5101    P       01,01,170,5101,BLUE
5107    P       07,07,170,5107,GREEN
5113    P       13,13,170,5113,GOLD
5119    P       19,19,170,5119,RED
5147    P       17,17,171,5147,GOLD
5153    P       23,23,171,5153,GREEN
5167    P       07,07,172,5167,GREEN
5171    P       11,11,172,5171,RED
5179    P       19,19,172,5179,RED
5189    P       29,29,172,5189,BLUE
5197    P       07,07,173,5197,GREEN
5209    P       19,19,173,5209,RED
5227    P       07,07,174,5227,GREEN
5231    P       11,11,174,5231,RED
5233    P       13,13,174,5233,GOLD
5237    P       17,17,174,5237,GOLD
5261    P       11,11,175,5261,RED
5273    P       23,23,175,5273,GREEN
5279    P       29,29,175,5279,BLUE
5281    P       01,01,176,5281,BLUE
5297    P       17,17,176,5297,GOLD
5303    P       23,23,176,5303,GREEN
5309    P       29,29,176,5309,BLUE
5323    P       13,13,177,5323,GOLD
5333    P       23,23,177,5333,GREEN
5347    P       07,07,178,5347,GREEN
5351    P       11,11,178,5351,RED
5381    P       11,11,179,5381,RED
5387    P       17,17,179,5387,GOLD
5393    P       23,23,179,5393,GREEN
5399    P       29,29,179,5399,BLUE
5407    P       07,07,180,5407,GREEN
5413    P       13,13,180,5413,GOLD
5417    P       17,17,180,5417,GOLD
5419    P       19,19,180,5419,RED
5431    P       01,01,181,5431,BLUE
5437    P       07,07,181,5437,GREEN
5441    P       11,11,181,5441,RED
5443    P       13,13,181,5443,GOLD
5449    P       19,19,181,5449,RED
5471    P       11,11,182,5471,RED
5477    P       17,17,182,5477,GOLD
5479    P       19,19,182,5479,RED
5483    P       23,23,182,5483,GREEN
5501    P       11,11,183,5501,RED
5503    P       13,13,183,5503,GOLD
5507    P       17,17,183,5507,GOLD
5519    P       29,29,183,5519,BLUE
5521    P       01,01,184,5521,BLUE
5527    P       07,07,184,5527,GREEN
5531    P       11,11,184,5531,RED
5557    P       07,07,185,5557,GREEN
5563    P       13,13,185,5563,GOLD
5569    P       19,19,185,5569,RED
5573    P       23,23,185,5573,GREEN
5581    P       01,01,186,5581,BLUE
5591    P       11,11,186,5591,RED
5623    P       13,13,187,5623,GOLD
5639    P       29,29,187,5639,BLUE
5641    P       01,01,188,5641,BLUE
5647    P       07,07,188,5647,GREEN
5651    P       11,11,188,5651,RED
5653    P       13,13,188,5653,GOLD
5657    P       17,17,188,5657,GOLD
5659    P       19,19,188,5659,RED
5669    P       29,29,188,5669,BLUE
5683    P       13,13,189,5683,GOLD
5689    P       19,19,189,5689,RED
5693    P       23,23,189,5693,GREEN
5701    P       01,01,190,5701,BLUE
5711    P       11,11,190,5711,RED
5717    P       17,17,190,5717,GOLD
5737    P       07,07,191,5737,GREEN
5741    P       11,11,191,5741,RED
5743    P       13,13,191,5743,GOLD
5749    P       19,19,191,5749,RED
5779    P       19,19,192,5779,RED
5783    P       23,23,192,5783,GREEN
5791    P       01,01,193,5791,BLUE
5801    P       11,11,193,5801,RED
5807    P       17,17,193,5807,GOLD
5813    P       23,23,193,5813,GREEN
5821    P       01,01,194,5821,BLUE
5827    P       07,07,194,5827,GREEN
